No,Nama Materi,Tanggal,Unnamed: 3,No.1,Nama Materi.1,sheet_name,No.,Materi
,,,,,,Robot Explorer 2.0,23.0,Hellicopter
,,,,,,Robot Explorer 2.0,24.0,Scissor Lift
,,,,,,Robot Explorer 2.0,25.0,Caterpillar Bot
,,,,,,Robot Explorer 2.0,26.0,Puppy Bot
,,,,,,Robot Explorer 2.0,27.0,Stride Bot
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,29.0,Alien Walking
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,31.0,Motorcycle
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,33.0,Rocket Launcher
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,35.0,Hand Gun
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,37.0,Stars Wars
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,39.0,Dancing Dragon
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,41.0,Train
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,43.0,Gyroarm Bot
,,,,,,Robot Explorer 2.0,,
,,,,,,Robot Explorer 2.0,45.0,Spider Bot
,,,,,,Robot Explorer 2.0,46.0,Fly Force
,,,,,,Robot Explorer 2.0,47.0,Roller Conveyor
,,,,,,Robot Explorer 2.0,48.0,Merry Go Round
,,,,,,Robot Explorer 2.0,49.0,Turn Stile
,,,,,,Robot Explorer 2.0,50.0,Conveyor Belt
,,,,,,Robot Explorer 2.0,51.0,Mini Crane
,,,,,,Robot Explorer 2.0,52.0,Bridge
,,,,,,Robot Explorer 2.0,54.0,Ogoh-ogoh
,,,,,,Robot Explorer 2.0,55.0,Raising Flag
,,,,,,Robot Explorer 2.0,56.0,Gymnastic
,,,,,,Robot Explorer 2.0,57.0,Draw Bridge
,,,,,,Robot Explorer 2.0,58.0,Pullback Car
,,,,,,Robot Explorer 2.0,59.0,Battle Tank
,,,,,,Robot Explorer 2.0,60.0,ski robot
,,,,,,Robot Explorer 2.0,61.0,ski lift
,,,,,,Robot Explorer 2.0,62.0,Final test - bridge
,Scratch-Catching Apple,,,,,Coding Scratch,1.0,
,Scratch-Pong Game,,,,,Coding Scratch,2.0,
,Scratch-Flying Game,,,,,Coding Scratch,3.0,
,Scratch-Aquarium,,,,,Coding Scratch,4.0,
,Scratch-Hungry Cat,,,,,Coding Scratch,5.0,
,Scratch-Cross Road,,,,,Coding Scratch,6.0,
,Scratch-Space Invander,,,,,Coding Scratch,7.0,
,Scratch-Fight The Virus,,,,,Coding Scratch,8.0,
,Scratch-Maze Game,,,,,Coding Scratch,9.0,
,Scratch-Pacman,,,,,Coding Scratch,10.0,
,Scratch-Shooter Game,,,,,Coding Scratch,11.0,
,Scratch-Flappybird,,,,,Coding Scratch,12.0,
,Scratch-Ninja Run,,,,,Coding Scratch,13.0,
,Scratch-Throwing Knife,,,,,Coding Scratch,14.0,
,Scratch-Platformer,,,,,Coding Scratch,15.0,
,Scratch-Agar.io,,,,,Coding Scratch,16.0,
,Scratch-Battle Race,,,,,Coding Scratch,17.0,
,Scratch-Boat Race,,,,,Coding Scratch,18.0,
,Scratch-Desert Rally,,,,,Coding Scratch,19.0,
,Scratch-Story Telling,,,,,Coding Scratch,20.0,
,Scratch-Character Builder,,,,,Coding Scratch,21.0,
,Scratch-Wizard Spell,,,,,Coding Scratch,22.0,
,Scratch-Calculator,,,,,Coding Scratch,23.0,
,Scratch-Math Race,,,,,Coding Scratch,24.0,
,Scratch-Solar System,,,,,Coding Scratch,25.0,
,Scratch-Water Cycle,,,,,Coding Scratch,26.0,
,Scratch-Beach Cleanup,,,,,Coding Scratch,27.0,
,Scratch-Mid Evaluation,,,,,Coding Scratch,28.0,
,Scratch-Mid Evaluation II,,,,,Coding Scratch,29.0,
,Scratch-Final Evaluation,,,,,Coding Scratch,30.0,
,Scratch-Forest Defender,,,,,Coding Scratch,31.0,
,Scratch-Project Presentation (Slide Making),,,,,Coding Scratch,32.0,
,PictoBlox-Having Fun with Expressions,,,,,Coding Picto,1.0,
,PictoBlox-Its Heart Beats Only for You!,,,,,Coding Picto,2.0,
,PictoBlox-Making Your Own Name Badge,,,,,Coding Picto,3.0,
,PictoBlox-Touch Based Piano,,,,,Coding Picto,4.0,
,PictoBlox-Dance Party,,,,,Coding Picto,5.0,
,PictoBlox-Face Detection,,,,,Coding Picto,6.0,
,PictoBlox-Face Sensing,,,,,Coding Picto,7.0,
,PictoBlox-Face Tracking Robot,,,,,Coding Picto,8.0,
,Pictoblox-Make Your Robot Move,,,,,Coding Picto,9.0,
,Pictoblox-Control Your Robot Wirelessly,,,,,Coding Picto,10.0,
,PictoBlox-Make Your Own Face Filters in PictoBlox Using the Face Detection,,,,,Coding Picto,11.0,
,Pictoblox-Make Flappy Bird Game Using Human Body Detection Extension in PictoBlox,,,,,Coding Picto,12.0,
,Pictoblox-Natural Language Processing Extension in PictoBlox,,,,,Coding Picto,13.0,
,Pictoblox-Self Driving Car in PictoBlox with Recognition Card,,,,,Coding Picto,14.0,
,PictoBlox-Automatic Door Unlocking System Using Face Recognition,,,,,Coding Picto,15.0,
,PictoBlox-Make your Own Smart AI Chatbot Using Speech Recognition,,,,,Coding Picto,16.0,
,PictoBlox-Make Object Recognizer Using Machine Learning Extensions in PictoBlox,,,,,Coding Picto,17.0,
,PictoBlox-Gesture Controlled Battle Game in PictoBlox using Human Body Detection,,,,,Coding Picto,18.0,
,PictoBlox-Face Anonymizer,,,,,Coding Picto,19.0,
,PictoBlox-Voice Enabled Shape Quiz,,,,,Coding Picto,20.0,
,PictoBlox-Employee Attendance Tracker,,,,,Coding Picto,21.0,
,PictoBlox-Smart Classroom Gesture Controlled,,,,,Coding Picto,22.0,
,PictoBlox-Virtual Doctor Using NLP in PictoBlox,,,,,Coding Picto,23.0,
,Construct 3-FPS Shooter,,,,,Coding Construct,1.0,
,Construct 3-Starfish,,,,,Coding Construct,2.0,
,Construct 3-Turtle Bay,,,,,Coding Construct,3.0,
,Construct 3-Space Rock,,,,,Coding Construct,4.0,
,Construct 3-Cleaner Up,,,,,Coding Construct,5.0,
,Construct 3-Dino Run,,,,,Coding Construct,6.0,
,Construct 3-Plane Dodger,,,,,Coding Construct,7.0,
,Construct 3-Air War,,,,,Coding Construct,8.0,
,Construct 3-Maze,,,,,Coding Construct,9.0,
,Construct 3-Race Car 5000,,,,,Coding Construct,10.0,
,Construct 3-Slither IO,,,,,Coding Construct,11.0,
,Construct 3-Jumper Ball,,,,,Coding Construct,12.0,
,Construct 3-Pong Goal,,,,,Coding Construct,13.0,
,Construct 3-Stick Man Hook,,,,,Coding Construct,14.0,
,Construct 3-Classic Pacman,,,,,Coding Construct,15.0,
,Construct 3-Classic Pacman Part 2,,,,,Coding Construct,16.0,
,Construct 3-Flappy Bird,,,,,Coding Construct,17.0,
,Construct 3-Valto,,,,,Coding Construct,18.0,
,Construct 3-Tank Battle,,,,,Coding Construct,19.0,
,Construct 3-Tower Of Defense,,,,,Coding Construct,20.0,
,Construct 3-Super Mario,,,,,Coding Construct,21.0,
,Construct 3-Super Mario Part 2,,,,,Coding Construct,22.0,
,Construct 3-Future2077 (Part1),,,,,Coding Construct,23.0,
,Construct 3-Future2077 (Part2),,,,,Coding Construct,24.0,
,Construct 3-Snakes and Ladders,,,,,Coding Construct,25.0,
,Construct 3-Make a Quiz Game,,,,,Coding Construct,26.0,
,Construct 3-Guess the Animal,,,,,Coding Construct,27.0,
,Construct 3-Pengerupukan Day,,,,,Coding Construct,28.0,
,Construct 3-Gem Finder,,,,,Coding Construct,29.0,
,Construct 3-Lucky Red Envelope Dash,,,,,Coding Construct,30.0,
,Construct 3-Fishing Game,,,,,Coding Construct,31.0,
,Construct 3-Independence Day,,,,,Coding Construct,32.0,
,Construct 3-Mini Golf,,,,,Coding Construct,33.0,
,Construct 3-Barong The Savior,,,,,Coding Construct,34.0,
,Construct 3-Neon Shoot Ball,,,,,Coding Construct,35.0,
,Construct 3-Final Project Challenge,,,,,Coding Construct,36.0,
,Construct 3-Forest Defender: Save the Enchanted Trees,,,,,Coding Construct,37.0,
,Roblox-Introduction Roblox Studio,,,,,Coding RobloxNo._x0009_Nama Materi,1.0,
,"Roblox-Introduction to Tools, Anchor, Weld, Group Model, Camera, and Union",,,,,Coding RobloxNo._x0009_Nama Materi,2.0,
,Roblox-Camp Fire,,,,,Coding RobloxNo._x0009_Nama Materi,3.0,
,Roblox-Making Cow,,,,,Coding RobloxNo._x0009_Nama Materi,4.0,
,Roblox-Create Tree,,,,,Coding RobloxNo._x0009_Nama Materi,5.0,
,Roblox-Pet Follow,,,,,Coding RobloxNo._x0009_Nama Materi,6.0,
,Roblox-Road Signs,,,,,Coding RobloxNo._x0009_Nama Materi,7.0,
,Roblox-Garden Table,,,,,Coding RobloxNo._x0009_Nama Materi,8.0,
,Roblox-Chimney,,,,,Coding RobloxNo._x0009_Nama Materi,9.0,
,Roblox-Mailbox,,,,,Coding RobloxNo._x0009_Nama Materi,10.0,
,Roblox-Windmill,,,,,Coding RobloxNo._x0009_Nama Materi,11.0,
,Roblox-Bus Stop,,,,,Coding RobloxNo._x0009_Nama Materi,12.0,
,Roblox-Traffic Light,,,,,Coding RobloxNo._x0009_Nama Materi,13.0,
,Roblox-Street Lamp,,,,,Coding RobloxNo._x0009_Nama Materi,14.0,
,Roblox-Reil Light,,,,,Coding RobloxNo._x0009_Nama Materi,15.0,
,Roblox-City Roads,,,,,Coding RobloxNo._x0009_Nama Materi,16.0,
,Roblox-Simple Car,,,,,Coding RobloxNo._x0009_Nama Materi,17.0,
,Roblox-Motorcycle,,,,,Coding RobloxNo._x0009_Nama Materi,18.0,
,Roblox-Swimming Pool,,,,,Coding RobloxNo._x0009_Nama Materi,19.0,
,Roblox-Create Modern House,,,,,Coding RobloxNo._x0009_Nama Materi,20.0,
,Roblox-ATM,,,,,Coding RobloxNo._x0009_Nama Materi,21.0,
,Roblox-Create Door,,,,,Coding RobloxNo._x0009_Nama Materi,22.0,
,Roblox-Traffic Light with Script,,,,,Coding RobloxNo._x0009_Nama Materi,23.0,
,Roblox-Learn the Terrain Editor in Roblox Studio,,,,,Coding RobloxNo._x0009_Nama Materi,24.0,
,Roblox-Create Animation,,,,,Coding RobloxNo._x0009_Nama Materi,25.0,
,Roblox-Understanding Folder Structure in Roblox Studio,,,,,Coding RobloxNo._x0009_Nama Materi,26.0,
,Roblox-Creating a Script,,,,,Coding RobloxNo._x0009_Nama Materi,27.0,
,Roblox-Object Properties,,,,,Coding RobloxNo._x0009_Nama Materi,28.0,
,Roblox-User Input,,,,,Coding RobloxNo._x0009_Nama Materi,29.0,
,Roblox-Parent and Children,,,,,Coding RobloxNo._x0009_Nama Materi,30.0,
,Roblox-Creating Functions,,,,,Coding RobloxNo._x0009_Nama Materi,31.0,
,Roblox-Using Parameters and Events,,,,,Coding RobloxNo._x0009_Nama Materi,32.0,
,Roblox-Parameters Practice: Buttons,,,,,Coding RobloxNo._x0009_Nama Materi,33.0,
,Roblox-Multiple Parameters and Arguments,,,,,Coding RobloxNo._x0009_Nama Materi,34.0,
,Roblox-Introduction to If Statements,,,,,Coding RobloxNo._x0009_Nama Materi,35.0,
,Roblox-If/Then Practice with Traps,,,,,Coding RobloxNo._x0009_Nama Materi,36.0,
,Roblox-If/Then Practice with Power-Up,,,,,Coding RobloxNo._x0009_Nama Materi,37.0,
,Roblox-Using Multiple Conditions with Elseif,,,,,Coding RobloxNo._x0009_Nama Materi,38.0,
,Roblox-Else/If Practice with Giving Points,,,,,Coding RobloxNo._x0009_Nama Materi,39.0,
,Roblox-Calculator,,,,,Coding RobloxNo._x0009_Nama Materi,40.0,
,Roblox-Loop Practice: Light Beam,,,,,Coding RobloxNo._x0009_Nama Materi,41.0,
,Roblox-Fading Trap,,,,,Coding RobloxNo._x0009_Nama Materi,42.0,
,Roblox-Loops Practice: Make the Bridge Disappear,,,,,Coding RobloxNo._x0009_Nama Materi,43.0,
,Roblox-Nested Loops,,,,,Coding RobloxNo._x0009_Nama Materi,44.0,
,Roblox-Break and Continue Loop,,,,,Coding RobloxNo._x0009_Nama Materi,45.0,
,Roblox-Array Introduction,,,,,Coding RobloxNo._x0009_Nama Materi,46.0,
,Roblox-How to Use Arrays and Loops,,,,,Coding RobloxNo._x0009_Nama Materi,47.0,
,Roblox-Build Blocks Parts and Platforms,,,,,Coding RobloxNo._x0009_Nama Materi,48.0,
,Roblox-Build Game Checkpoints,,,,,Coding RobloxNo._x0009_Nama Materi,49.0,
,Roblox-Learn Script,,,,,Coding RobloxNo._x0009_Nama Materi,50.0,
,Roblox-Learn to Control Objects,,,,,Coding RobloxNo._x0009_Nama Materi,51.0,
,Roblox-Intro For Loops,,,,,Coding RobloxNo._x0009_Nama Materi,52.0,
,Roblox-Loops,,,,,Coding RobloxNo._x0009_Nama Materi,53.0,
,Roblox-Making Changes to Arrays,,,,,Coding RobloxNo._x0009_Nama Materi,54.0,
,Roblox-Dictionaries,,,,,Coding RobloxNo._x0009_Nama Materi,55.0,
,Roblox-Functions,,,,,Coding RobloxNo._x0009_Nama Materi,56.0,
,Roblox-Intro to If Statements,,,,,Coding RobloxNo._x0009_Nama Materi,57.0,
,Roblox-If/then Practice with Traps,,,,,Coding RobloxNo._x0009_Nama Materi,58.0,
,Roblox-Tower Defend-Path Navigation,,,,,Coding RobloxNo._x0009_Nama Materi,59.0,
,Roblox-Tower Defend-Wave Enemy,,,,,Coding RobloxNo._x0009_Nama Materi,60.0,
,Roblox-Tower Defend-New Enemy Type and Animation,,,,,Coding RobloxNo._x0009_Nama Materi,61.0,
,Roblox-Tower Defend-Creating Tower and Killing Enemy,,,,,Coding RobloxNo._x0009_Nama Materi,62.0,
,Roblox-Tower Defend-Health Bar GUI,,,,,Coding RobloxNo._x0009_Nama Materi,63.0,
,Roblox-Mansion of Wonder Part I,,,,,Coding RobloxNo._x0009_Nama Materi,64.0,
,Roblox-Mansion of Wonder Part II,,,,,Coding RobloxNo._x0009_Nama Materi,65.0,
,Roblox-Island Of Move,,,,,Coding RobloxNo._x0009_Nama Materi,66.0,
,Roblox-Galactic Speedway I,,,,,Coding RobloxNo._x0009_Nama Materi,67.0,
,Roblox-Galactic Speedway II,,,,,Coding RobloxNo._x0009_Nama Materi,68.0,
,Roblox-Create and Destroy,,,,,Coding RobloxNo._x0009_Nama Materi,69.0,
,Roblox-Story Game,,,,,Coding RobloxNo._x0009_Nama Materi,70.0,
